Execution with 3 processes
WORD: pulvinar --- FREQ: 2320
WORD: aliquam --- FREQ: 2315
WORD: quis --- FREQ: 5905
WORD: Etiam --- FREQ: 2245
WORD: tristique --- FREQ: 2250
WORD: purus --- FREQ: 3410
WORD: Orci --- FREQ: 440
WORD: natoque --- FREQ: 440
WORD: penatibus --- FREQ: 440
WORD: magnis --- FREQ: 440
WORD: dis --- FREQ: 440
WORD: parturient --- FREQ: 440
WORD: montes --- FREQ: 440
WORD: nascetur --- FREQ: 440
WORD: ridiculus --- FREQ: 440
WORD: mus --- FREQ: 440
WORD: ultrices --- FREQ: 2920
WORD: massa --- FREQ: 2995
WORD: Curabitur --- FREQ: 2275
WORD: dictum --- FREQ: 2100
WORD: feugiat --- FREQ: 2550
WORD: euismod --- FREQ: 1995
WORD: urna --- FREQ: 3255
WORD: Proin --- FREQ: 1915
WORD: molestie --- FREQ: 2300
WORD: non --- FREQ: 5920
WORD: finibus --- FREQ: 2135
WORD: egestas --- FREQ: 2455
WORD: augue --- FREQ: 3935
WORD: mauris --- FREQ: 2790
WORD: tellus --- FREQ: 3200
WORD: facilisi --- FREQ: 325
WORD: sodales --- FREQ: 2495
WORD: vehicula --- FREQ: 2445
WORD: eu --- FREQ: 6950
WORD: odio --- FREQ: 3055
WORD: pellentesque --- FREQ: 1850
WORD: scelerisque --- FREQ: 1800
WORD: imperdiet --- FREQ: 2250
WORD: nulla --- FREQ: 3245
WORD: mattis --- FREQ: 2665
WORD: cursus --- FREQ: 1690
WORD: accumsan --- FREQ: 2235
WORD: Cras --- FREQ: 2070
WORD: porttitor --- FREQ: 2305
WORD: porta --- FREQ: 2330
WORD: Aenean --- FREQ: 2275
WORD: tempor --- FREQ: 2250
WORD: convallis --- FREQ: 1530
WORD: libero --- FREQ: 2890
WORD: viverra --- FREQ: 3050
WORD: mi --- FREQ: 2900
WORD: Nunc --- FREQ: 1780
WORD: venenatis --- FREQ: 2335
WORD: Quisque --- FREQ: 2265
WORD: hendrerit --- FREQ: 2370
WORD: Mauris --- FREQ: 2115
WORD: vestibulum --- FREQ: 1780
WORD: vulputate --- FREQ: 2625
WORD: potenti --- FREQ: 370
WORD: facilisis --- FREQ: 2410
WORD: Fusce --- FREQ: 2130
WORD: dapibus --- FREQ: 2115
WORD: Duis --- FREQ: 1965
WORD: nibh --- FREQ: 2615
WORD: Nullam --- FREQ: 1940
WORD: auctor --- FREQ: 2070
WORD: primis --- FREQ: 825
WORD: cubilia --- FREQ: 525
WORD: curae --- FREQ: 525
WORD: hac --- FREQ: 390
WORD: habitasse --- FREQ: 390
WORD: platea --- FREQ: 390
WORD: dictumst --- FREQ: 390
WORD: Class --- FREQ: 325
WORD: aptent --- FREQ: 325
WORD: taciti --- FREQ: 325
WORD: sociosqu --- FREQ: 325
WORD: ad --- FREQ: 325
WORD: litora --- FREQ: 325
WORD: torquent --- FREQ: 325
WORD: per --- FREQ: 650
WORD: conubia --- FREQ: 325
WORD: nostra --- FREQ: 325
WORD: inceptos --- FREQ: 325
WORD: himenaeos --- FREQ: 325
WORD: Interdum --- FREQ: 300
WORD: fames --- FREQ: 580
WORD: habitant --- FREQ: 280
WORD: morbi --- FREQ: 280
WORD: senectus --- FREQ: 280
WORD: netus --- FREQ: 280
